ID_plt;ID#;ID;Point digging;Längd;Bredd innerslänt;Bredd ytterslänt;Area;Färg;Djup cm;Faktiskt djup cm;Digging.depth;Uneven digging depth;Year;Seedlings.inside;Big.inside;Small.inside;Big.outside.l;Small.outside.l;Big.outside.b;Small.outside.b;Big.outside.u;Small.outside.u;Total.big.outside;Datum inventering ;Inventerare 2023;Kommentar;;Surroundings;Orientation
13;G;13G;No;500;210;310;26;Blå;10;10;10;Yes;2023;0;0;0;;;0;0;1;0;1;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Garden/Forest;East
13;H;13H;No;740;210;310;38,48;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;1;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden/Forest;East
14;;14;No;580;170;140;17,98;Blå;10;10;10;No;2023;0;0;0;0;1;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
15;;15;No;280;120;100;6,16;Rosa;30;27;27;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
18;;18;Yes;280;130;80;5,88;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;A;19A;No;500;240;110;17,5;Rosa;30;30;30;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;B;19B;No;320;240;180;13,44;Grön;20;20;20;No;2023;0;0;0;1;0;0;0;0;0;1;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;D;19D;No;530;230;100;17,49;Grön;20;20;20;No;2023;0;0;0;0;1;0;1;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;E;19E;No;640;230;110;21,76;Rosa;30;30;30;No;2023;1;0;0;0;0;0;0;0;1;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;G;19G;No;700;170;150;22,4;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;J;19J;No;630;170;200;23,31;Blå;10;10;10;No;2023;0;0;0;0;3;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;K;19K;No;460;170;170;15,64;Grön;20;20;20;No;2023;0;0;0;;;0;0;0;1;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Forest;East
19;L;19L;No;620;170;230;24,8;Rosa;30;30;30;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
19;M;19M;Yes;100;50;50;1;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
20;;20;Yes;200;50;50;2;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
21;;21;Yes;290;0;130;3,77;Blå;10;10;10;No;2023;0;0;0;0;2;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
22;;22;Yes;190;100;;1,9;Rosa;30;30;30;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
24;;24;No;770;140;150;22,33;Rosa;30;30;30;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;East
25;;25;Yes;100;100;;1;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;Samma som ID101. Grävdjup oklart (10 el 20 cm);Forest;East
26;;26;Yes;100;100;;1;Blå;10;10;10;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;Samma som ID102? Grävdjup oklart, ID oklar. ;Forest;East
27;A;27A;Yes;100;100;0;1;Grön;20;20;20;No;2023;0;0;0;0;0;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
27;B;27B;No;360;150;120;9,72;Rosa;30;30;30;Yes;2023;0;0;0;0;3;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
27;C;27C;No;500;150;110;13;Blå;10;10;10;Yes;2023;5;0;0;1;15;0;0;0;1;1;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
28;A;28A;No;450;220;100;14,4;Rosa;30;30;30;Yes;2023;0;0;0;2;5;0;0;0;3;2;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
28;B;28B;No;540;220;100;17,28;Blå;10;10;10;No;2023;0;0;0;;;0;0;3;11;3;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Garden;East
28;C;28C;No;590;220;100;18,88;Grön;20;20;20;No;2023;144;0;0;;;0;0;30;;30;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Garden;East
28;D;28D;No;350;220;100;11,2;Rosa;30;30;30;No;2023;101;0;0;;;0;0;40;;40;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Garden;East
28;E;28E;No;440;220;100;14,08;Blå;10;10;10;No;2023;185;0;0;0;3;0;0;38;;38;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Garden;East
29;A;29A;No;550;180;230;22,55;Blå;10;15;15;No;2023;1;0;0;0;0;0;0;0;2;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;;;Forest;West
29;B;29B;No;460;180;410;27,14;Grön;20;25;25;No;2023;0;0;0;;;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Forest;West
29;C;29C;No;500;180;410;29,5;Rosa;30;35;35;No;2023;0;0;0;;;0;0;0;0;0;2023-06-19;Juliana Daniel-Ferreira, J-O Helldin, Izabel Eriksson, Andreas Ekman;Går inte att ha plantor i längd.;;Forest;West
